Text,X.M.._twitter_id,X.M..language..,Not-related, other flood identification,rain identification,disaster management,flood identification,consequence score,irony(politics,emotional (positive or negative),effects on social life,situation overview,weather warning,flood aid,volunteers,timeperiod,X.M..posted_time..,daynight,timeperiod(hourly)
(upd) Τρεις νεκροί από τη Βιβλική καταστροφή στην Καλαμάτα (βίντεο) https://t.co/0NDIvyMLih https://t.co/MRAtrJttuQ ,7.73424646209303E+017,el,,N,N,N,Y,5,N,N,N,Y,N,N,N,8,07/09/2016 07:36:19,day,8
[ΕΛΛΑΔΑ] Μόνο εδώ: Φωτογραφίες ολικής καταστροφής στην Καλαμάτα ! https://t.co/3EeXQecqOf https://t.co/K1rIorhujs ,7.73528432428757E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 14:28:44,day,15
[ΕΛΛΑΔΑ] Μόνο εδώ: Φωτογραφίες ολικής καταστροφής στην Καλαμάτα ! https://t.co/ZaGveDjLIA https://t.co/C2gGp5lXJG ,7.73528818745086E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 14:30:16,day,15
[TheTOC]: Λεβέντης σε Τσίπρα: Στείλε άμεσα υπουργούς στην Καλαμάτα https://t.co/2Ev1SxsiUu https://t.co/IsXJk0bA9e ,7.73468951057732E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 10:32:22,day,11
@anny_v10 γύρισαν ο Τόσκας με τον Σπίρτζη από την Καλαμάτα και του έφεραν από το καλό ,7.73593181510312E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,18,07/09/2016 18:46:01,day,19
"@CristinaSouzi Καλημέρα, διαβάζω 140mm στην Καλαμάτα σε 1 ώρα!!! Αν ισχύει, είναι συγκλονιστικό νούμερο. ",7.73422401828884E+017,el,,N,N,N,N,2,N,N,N,Y,N,N,N,8,07/09/2016 07:27:24,day,8
@freedybruna Γυναίκα νεκρή από τις βροχοπτώσεις στην Καλαμάτα https://t.co/JYuQQGB2NH @avgerinosx @toxwni ,7.73406362038567E+017,el,,N,Y,N,Y,5,N,N,N,Y,N,N,N,6,07/09/2016 06:23:40,night,7
@FREEDYBRUNA Θεομηνία και εικόνες βιβλικής καταστροφής στην Καλαμάτα από την κακοκαιρία - Πληροφο... https://t.co/lmp9gXLDMJ @avgerinosx ,7.73402784976794E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,6,07/09/2016 06:09:27,night,7
"@FREEDYBRUNA Καιρός φονιάς ""γονάτισε"" Πελοπόννησο και Θεσσαλονίκη – Νεκροί σε Καλαμάτα και Λακωνί... https://t.co/GFdgziI43J @avgerinosx ",7.73514525152641E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 13:33:28,day,14
@FREEDYBRUNA Λεβέντης σε Τσίπρα: Αξιώνω να πάνε υπουργοί στην Καλαμάτα https://t.co/fVaDwTIJZh @avgerinosx ,7.73459363877061E+017,el,,N,N,Y,N,N,N,N,N,N,N,N,N,12,07/09/2016 09:54:17,day,10
@FREEDYBRUNA Σπίτια βυθισμένα στη λάσπη και εικόνες καταστροφής στην Καλαμάτα – ΦΩΤΟ https://t.co/RDtebpT5oQ @avgerinosx ,7.73511448517419E+017,el,,N,N,N,N,4,N,N,N,Y,N,N,N,18,07/09/2016 13:21:15,day,14
@freedybruna Τρεις νεκροί από την κακοκαιρία στην Καλαμάτα - Μια αγνοούμενη στη Θεσσαλονίκη https://t.co/pfrixXYgba @avgerinosx @toxwni ,7.73421641158234E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,8,07/09/2016 07:24:23,day,8
@iliaspsinakis Δήμαρχε θα έρθω για Σαββατοκύριακο στο Μαραθώνα! Εβαρέθηκα στην Καλαμάτα. ,"7,73779338634392E+017",el,,N,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 07:05:45,night,32
@karameros Οι επώδυνες συνέπειες του μπαζώνω κ το τελευταίο ρέμα χτύπησαν την Καλαμάτα. Νερο είναι. Από κάπου πρέπει να φύγει. ,7.73433379647853E+017,el,,N,N,N,N,N,N,N,N,Y,N,N,N,8,07/09/2016 08:11:02,day,9
@KIRKH_ ο Σαμαράς πήγε στην Καλαμάτα να κάνει τί; ,7.73600111431651E+017,el,,N,N,Y,N,N,Y,N,N,N,N,N,N,18,07/09/2016 19:13:34,day,20
@KostasMantzaris στο Νίγηρα έμειναν 92.000 άστεγοι απ τις πλυμμήρες. Δεν έγινε &amp; τπτ στε Αθήνα/Καλαμάτα @leftgr ,7.73772393709986E+017,el,,Y,N,N,N,N,N,N,N,N,N,N,N,36,08/09/2016 06:38:09,night,31
@N0nServ1am είναι που η Καλαμάτα είναι έτοιμη να γίνει πολιτιστική πρωτεύουσα ,7.73425701588439E+017,el,,N,N,N,N,N,N,N,N,N,N,N,N,8,07/09/2016 07:40:31,day,8
"@nafsika71 @CorinaVasilopou Έγραψα πριν: ""Έρμη Καλαμάτα. Δε σου έφταναν οι πλημμύρες έρχεται και ο Σαμαράς. Οι σκέψεις μας μαζί σας αδέρφια"" ",7.73582852172767E+017,el,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 18:04:59,day,19
@omirouodyssia_ Οι πάγοι έλιωσαν και πλημμύρησε η Καλαμάτα.. ,"7,73997543881486E+017",el,,N,N,N,Y,N,N,N,N,Y,N,N,N,48,08/09/2016 21:32:49,night,46
@PerivolidouΚαλησπέρα Θωμαή Πολύ βροχή και η  Πελοπόννησοςαπαραίτητες οι ομπρέλες..... https://t.co/ikdfOS09Mn ,"7,7392989316805E+017",el,,N,Y,N,N,N,N,N,N,N,N,N,N,48,08/09/2016 17:04:00,day,42
@philrpepper @easyJet bused us all the Athens cos kalamata was flooded 😃👍🏼 ,"7,73964140327109E+017",en,,N,N,Y,Y,N,N,N,Y,Y,N,N,N,48,08/09/2016 19:20:05,day,44
@philrpepper @easyJet kalamata ground staff said it's definitely closed tomorrow but not sure yet about Saturday #safetravels ,"7,73966280089039E+017",en,,N,N,Y,Y,N,N,N,Y,Y,N,N,N,48,08/09/2016 19:28:35,day,44
@radio_aetos #KALAMATA Help locating and describing #flood damages with @signalert app  Shared map at https://t.co/bBobU0Besd ,7.73556682869932E+017,en,,N,N,Y,Y,N,N,N,N,Y,N,N,N,18,07/09/2016 16:20:59,day,17
@rfishermcginty @cassie_complex immediately begins plan to flood Facebook with kid pics. ,7.7376839648795E+017,en,,N,N,N,Y,N,N,N,N,Y,N,N,N,36,08/09/2016 06:22:16,night,31
@riseisLeventi Καλαμάτα θα πας;;; Ή εκεί δεν είναι τόσο καλοί και έξυπνοι σαν τους Σαλονικιούς και έπιασαν οι κατάρες που δεν ψήφισαν ΕΚ;;; ,"7,7380897335083E+017",el,,N,N,N,N,N,N,N,N,Y,N,N,N,36,08/09/2016 09:03:30,day,34
"@StratosBalis Α, όλα και όλα, οι ζημιές στη Μεσσηνία θα πληρωθούν από τις τοπικές περιφερειακές άδειες (τό 'κλεψα από το Protagon) ","7,73818295388631E+017",el,,N,N,N,N,3,N,N,N,Y,N,N,N,36,08/09/2016 09:40:33,day,34
@StratosBalis Αφού στην Καλαμάτα καλύπτονται από διαιτητή-φούρναρη.Τι να κάνουν μ ενα Σπιρτζη... ,"7,738327067571E+017",el,,N,N,N,N,N,Y,N,N,N,N,N,N,36,08/09/2016 10:37:49,day,35
#Ανυπολόγιστες καταστροφές στην #Καλαμάτα μετά την κακοκαιρία [NewsBeast]https://t.co/XhzZYiah40 ,"7,73971246266454E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 19:48:19,day,44
#ΕΛΛΑΔΑ Καλαμάτα: Οργή και απόγνωση μετά τις φονικές πλημμύρες - Νέες αυτοψίες και εικόνες καταστροφής [pics] https://t.co/CmAKiEmA8s ,"7,73798332061712E+017",el,,N,N,Y,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 08:21:13,day,33
#ΕΛΛΑΔΑ Φονική κακοκαιρία - Δυο οι επιβεβαιωμένοι νεκροί στην Καλαμάτα - Εικόνες βιβλικής καταστροφής https://t.co/Mgj82Z5uz7 ,7.73458855200186E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 09:52:15,day,10
#Καλαματα @kalamata_GR πλημμυριστικη πρωτευουσα 2016. αφηστε τα μπαζωματα κ τις εστετ εκδηλωσεις κ προστατεψτε τους κατοικους σας επιτελους ,7.73435984549642E+017,el,,N,N,N,Y,2,N,N,N,Y,N,N,N,8,07/09/2016 08:21:23,day,9
#Καλαματα Μία νεκρή από την κακοκαιρία στην Καλαμάτα https://t.co/Ks6REXqlig ,7.73410252071006E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 06:39:08,night,7
#Καλαμάτα Σεπ. 07 03:50 Θερμοκρασία 20C Σφοδρές καταιγίδες Ανεμος Α 15 km/h  Υγρασία 95% .. https://t.co/okaY0TG6kq ,7.73329042837762E+017,el,,N,Y,N,N,N,N,N,N,Y,Y,N,N,2,07/09/2016 01:16:26,night,2
#Καλαμάτα Σεπ. 07 04:20 Θερμοκρασία 20C Σφοδρές καταιγίδες Ανεμος ΒΔ 13 km/h  Υγρασία 95% .. https://t.co/okaY0TG6kq ,7.7333794337321E+017,el,,N,Y,N,N,N,N,N,N,Y,Y,N,N,2,07/09/2016 01:51:48,night,2
#Καλαμάτα Σεπ. 07 08:50 Θερμοκρασία 20C λίγα σύννεφα Υγρασία 95% .. https://t.co/okaY0TG6kq ,7.73402914392007E+017,el,,N,N,N,N,N,N,N,N,Y,Y,N,N,6,07/09/2016 06:09:58,night,7
#Καλαμάτα Σεπ. 08 08:50 Θερμοκρασία 22C ασθενής βρ οχή  Υγρασία 80% .. https://t.co/okaY0TG6kq ,7.7376677167333E+017,el,,N,Y,Y,N,N,N,N,N,Y,N,N,N,36,08/09/2016 06:15:48,night,31
"#Καλαμάτα Συνεχίζεται η κακοκαιρία τις επόμενες ημέρες, τί προβλέπει η ΕΜΥhttps://t.co/BgOda3jQbS ",7.73425824766755E+017,el,,N,N,N,N,N,N,N,N,N,Y,N,N,8,07/09/2016 07:41:00,day,8
#Τρεις οι νεκροί στη Καλαμάτα από τη θεομηνία (ΗΧΗΤΙΚΟ) https://t.co/8UvgSxcQUt ,7.73417554270388E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,6,07/09/2016 07:08:08,day,8
#aek #aek Οργή και απόγνωση στην Καλαμάτα μετά τις φονικές καταιγίδες https://t.co/73ZRi2QGuj #aekfc #aekfc ,"7,73856324446593E+017",el,,N,N,N,Y,5,N,Neg,N,Y,N,N,N,36,08/09/2016 12:11:39,day,37
#ANTIREPORT #mazi Τα πρωτοσέλιδα της Πέμπτης 8/9:   Οι φονικές πλημμύρες και οι ΔΕΘ στο προσκήνιο https://t.co/9SudOtgvkO #greekrevolution ,7.73738411102319E+017,el,,Y,N,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 04:23:07,night,29
#ANTIREPORT #mazi Τα πρωτοσέλιδα της Πέμπτης 8/9:   Οι φονικές πλημμύρες και οι ΔΕΘ στο προσκήνιο https://t.co/vsbQU6bbML #greekrevolution ,7.73738407981834E+017,el,,Y,N,N,Y,5,N,N,N,Y,N,N,N,36,08/09/2016 04:23:06,night,29
#BitGiaBit Νέο: Ζημιές στην Οιχαλία (φωτογραφίες) https://t.co/LR7TqDFvBt #έκτακτηεπικαιρότητα ,"7,73969432246911E+017",el,,N,N,N,N,3,N,N,N,Y,N,N,N,48,08/09/2016 19:41:06,day,44
#BitGiaBit Νέο: Καλαμάτα: Τώρα λένε στους κατοίκους να μην πίνουν νερό! https://t.co/qw194hwiLm #έκτακτηεπικαιρότητα ,"7,73917942425805E+017",el,,N,N,Y,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 16:16:30,day,41
#BitGiaBit Νέο: Καταστροφές στα στενά γύρω από την Αθηνών (Καλαμάτα) (φωτογραφίες) https://t.co/3x7cUyMHeR ,"7,73977007986188E+017",el,,N,N,Y,N,4,N,N,N,Y,N,N,N,48,08/09/2016 20:11:13,night,45
#BitGiaBit Νέο: Σοβαρές ζημιές και στην Αρσινόη στην Αρχαία Μεσσήνη (pics) https://t.co/IcvUApWyLw ,"7,7394365088369E+017",el,,N,N,N,N,4,N,N,N,Y,N,N,N,48,08/09/2016 17:58:40,day,42
#BitGiaBit Νέο: Τεράστιες ζημιές και σε επιχειρήσεις - Ευθύνες στους αρμοδίους από… https://t.co/iSvbFCao60 ,"7,73951469959668E+017",el,,N,N,N,N,4,N,N,Y,Y,N,N,N,48,08/09/2016 18:29:44,day,43
#BitGiaBit Νέο: Τρείς οι νεκροί στην Καλαμάτα από την σφοδρή κακοκαιρία! https://t.co/GhAtxOnTIJ #ελλάδα ,7.7349001071677E+017,el,,N,N,N,N,5,N,N,N,Y,N,N,N,12,07/09/2016 11:56:03,day,12
"#BreakingNews Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta  #news ",7.73590927621304E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:37:04,day,19
"#Dailymail Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and ... https://t.co/O67tu5x2rs ",7.73588040035873E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:25:35,day,19
"#Dailymail Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: Two men and ... https://t.co/oD8dJ4nvxr ",7.73588042321764E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:25:36,day,19
"#FollowForFollow Greece floods kill 4 people after heavy rain batters Thermaikos, Kalamata and Sparta: T... https://t.co/zdsmEAXKXe #tfb ",7.73590881253282E+017,en,,Y,Y,N,Y,5,N,N,N,Y,N,N,N,18,07/09/2016 18:36:53,day,19
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/2qZ6Qxx4me https://t.co/ahXy8nysGI ,7.73617073331274E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,24,07/09/2016 20:20:58,night,21
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/2qZ6Qxx4me https://t.co/rj31t68mwW ,7.73709258265358E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,36,08/09/2016 02:27:16,night,27
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/2qZ6Qxx4me https://t.co/RV2CbprrMr ,7.73555715071959E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 16:17:09,day,17
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/2qZ6Qxx4me https://t.co/SQfeIpuwb9 ,7.73587027996672E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 18:21:34,day,19
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/2qZ6Qxx4me https://t.co/T8LsWdyGZk ,7.73678225545462E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,24,08/09/2016 00:23:57,night,25
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/92BEw6x0xq https://t.co/GpGuTU3s1C ,7.7353220770936E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 14:43:44,day,15
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/SOe2ne9uTf https://t.co/bi06lgvZTT ,7.73707638475461E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,36,08/09/2016 02:20:50,night,27
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/SOe2ne9uTf https://t.co/n3KuZnPfFJ ,7.73526535651398E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 14:21:12,day,15
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/st39kmPGib https://t.co/b7EloZaDcl ,7.73710006227202E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,36,08/09/2016 02:30:14,night,27
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/st39kmPGib https://t.co/hVFEIruB8x ,7.73649624456462E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,24,07/09/2016 22:30:18,night,23
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/TS53PbXGTD https://t.co/eIzj0rL2uV ,7.73585378875957E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 18:15:01,day,19
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/TS53PbXGTD https://t.co/ewe2TMagL9 ,7.73554930019869E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 16:14:01,day,17
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/TS53PbXGTD https://t.co/Nnl32gy2ZR ,7.73706424312554E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,36,08/09/2016 02:16:00,night,27
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/TS53PbXGTD https://t.co/pii86eBJa5 ,7.73616081416192E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,24,07/09/2016 20:17:01,night,21
#Grecia | Autoridades han reportado tres fallecidos tras fuertes lluvias en #Kalamata https://t.co/TS53PbXGTD https://t.co/VbE7Ml8FOS ,7.73525381852852E+017,es,,N,Y,N,N,5,N,N,N,Y,N,N,N,18,07/09/2016 14:16:37,day,15
